,City,Id,Name,Fees,Experience,Contact,Website,AvailDay,Address
0,Hyderabad,0,Cimhans - Cognizance Institute Of Mental Health and Neuro Sciences Pvt Ltd,800,0,-9152660538,http://www.cimhans.com/,Monday Tuesday Wednesday Thursday Friday Saturday X,"Plot No 20, INR Complex, High Tension Line Road, Nizampet, Hyderabad - 500090, Near Kolanu Raghava Reddy Gardens "
1,Hyderabad,1,Dr. Col R Shashikumar,1250,24,-9152150099,http://www.psychiatryawareness.in/,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"House No 42, Chikoti Gardens Lane, Begumpet, Hyderabad - 500016, Begumpet Main Road "
2,Hyderabad,2,Cimhans-Cognizance Institute Of Mental Health and Neuro Sciences Pvt Ltd,100,0,-9152969650,http://www.cimhans.in/,Monday Tuesday Wednesday Thursday Friday Saturday X,"H No 256 Kiran Nilayam, Aparnahills Roadd, PJR Enclave, Chanda Nagar, Hyderabad - 500050 "
3,Hyderabad,3,New Life Counseling Center,1000,0,-9152244868,http://www.isthydindia.com/,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"Road No 25, Mp & Mla Colony, Jubilee Hills, Hyderabad - 500033, Dr MCR HRD Traniing Institute Campus "
4,Hyderabad,4,Chetana Hospital,900,0,-9152199734,http://www.chetanahospital.com/,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"Minister Road, Secunderabad, Hyderabad - 500003, Opposite Royal Enfield Showrrom, Adjacent to Kims "
5,Hyderabad,5,Helium Mind Center,500,9,-9152179083,https://www.justdial.com/Hyderabad/Helium-Mind-Center-Above-Bicha-Reddy-Sweets-Chanda-Nagar/040PXX40-XX40-161024095127-N8G3_BZDET?xid=SHlkZXJhYmFkIFBzeWNob3RoZXJhcHkgRG9jdG9ycw==,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"Plot No 381, 1st Floor, Shop No 11, Vijaya Raghava Chambers, Chanda Nagar, Hyderabad - 500050, Above Bicha Reddy Sweets "
6,Hyderabad,6,Neuro Arthritis & Joint Pains Clinic,1000,0,-9152331921,https://www.justdial.com/Hyderabad/Neuro-Arthritis-Joint-Pains-Clinic-Near-Kumar-Theatre-Kachiguda/040PXX40-XX40-130717124414-R3P8_BZDET?xid=SHlkZXJhYmFkIFBzeWNob3RoZXJhcHkgRG9jdG9ycw==,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"Shop No3-2-716, Chappal Bazaar, Kachiguda, Hyderabad - 500027, Near Kumar Theatre "
7,Hyderabad,7,Idea Clinics,,0,-40023949,http://www.ideaclinics.com/,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"Flat No 450 & 475, 2nd Floor, K K Plaza, 100 Feet Road, Meridian School Road, Madhapur, Hyderabad - 500081, Beside Abhiruchi Tiffins, Ayyappa Society "
8,Hyderabad,8,Physiokentic,900,0,-7287012132,https://www.justdial.com/Hyderabad/Physiokentic-Near-Area-Hospital-Sri-Ram-Nagar-Kondapur/040PXX40-XX40-180620190204-E7Q3_BZDET?xid=SHlkZXJhYmFkIFBzeWNob3RoZXJhcHkgRG9jdG9ycw==,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"Plot No 20, Masjid Banda Road, Sri Ram Nagar-Kondapur, Hyderabad - 500084, Near Area Hospital, "
9,Hyderabad,9,Siddharth Physiotheraphy,900,0,-9866213032,https://www.justdial.com/Hyderabad/Siddharth-Physiotheraphy-SBI-BANK-Shivam-Road-Bagh-Amberpet-amberpet/040PXX40-XX40-160702185020-B9Y6_BZDET?xid=SHlkZXJhYmFkIFBzeWNob3RoZXJhcHkgRG9jdG9ycw==,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"House No 2-2-647/187/6, Street No. 9, Bagh Amberpet-amberpet, Hyderabad - 500013, SBI BANK, Shivam Road"
10,Hyderabad,10,Positive Homeopathy,,0,-9152189673,http://www.positivehomeopathy.in/,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"Door No. 8-2-293/82/A/69/1, RD 1, 252, Road No. 1, Near TV-5 Office, Jubilee Hills, Hyderabad - 500033, Above Naturals, Beside Celebrations Restaurant "
11,Hyderabad,11,Neorise Physiotherapy &Rehabilitation,1000,0,-9152378441,https://www.justdial.com/Hyderabad/Neorise-Physiotherapy-Rehabilitation-Zena-International-School-Backside-Miyapur/040PXX40-XX40-200708162234-Y7A1_BZDET?xid=SHlkZXJhYmFkIFBzeWNob3RoZXJhcHkgRG9jdG9ycw==,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"Plot 125, Mathrusri Nagar, Miyapur, Hyderabad - 500049, Zena International School Backside "
12,Hyderabad,12,New Life Counselling Centre,1000,0,-9152187849,http://www.isthydindia.com/,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"Door No 9-3-39, Secunderabad, Hyderabad - 500003, Behind Blue Sea Hotel, Opposite Rethifile Bus Station,Opposite Secunderabad Railway Station, Rezimen "
13,Hyderabad,13,Cimhans- Cognizance Institute Of Mental and Neuro Sciences PVT LTD,500,0,-9989585095,http://www.cimhans.in/,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"Plot No 20, As Raju Nagar, Nizampet, hyderabad - 500090, Opp Akshara Concept School "
14,Hyderabad,14,Dr. Krishna Physiotherapist,250,0,-9866921997,https://www.justdial.com/Hyderabad/Dr-Krishna-Physiotherapist-Canara-Bank-Lane-Kukatpally/040PXX40-XX40-151221144539-X8M6_BZDET?xid=SHlkZXJhYmFkIFBzeWNob3RoZXJhcHkgRG9jdG9ycw==,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"HNo 3-5-2 Sumithra Nagar Road No 1, Vivekananda Nagar, Kukatpally, Hyderabad - 500072, Canara Bank Lane "
15,Hyderabad,15,Nims Hospital,,0,-23488949,http://www.nims.edu.in/,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,
16,Hyderabad,16,Astro Agam,,0,-8107911820,http://www.astroagam.com/,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"Flat No. 1008, Sky B Building, RSG The Universe, Near Girja Vyas Petrol Pump Saveena, Hiran Magri, Udaipur-Rajasthan - 313002 "
17,Hyderabad,17,Psychonnect.Com,,0,-9152783698,http://www.psychonnect.com/,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"AJ-268, Sector 2, Saltlake City, Sech Bhawan, Kolkata - 700091"
18,Hyderabad,18,Columbus Hospitals,,0,-27761061,http://www.columbushospitals.in/,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"House No-1-10-63/4/1, Chikoti Gardens, Begumpet, Hyderabad - 500016, Opposite Shoppers Stop Lane,Behind Hdfc Bank "
19,Hyderabad,19,Tulasi Hospitals,,0,-49336648,http://www.tulasihospitals.com/,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,
20,Hyderabad,20,Employees State Insurance Corporation Hospital,,0,-23700480,http://www.esic.nic.in/,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"Main Road, Sanath Nagar, Hyderabad - 500018, Opposite Vijaya Laxmi Temple, Erragadda "
21,Hyderabad,21,Image Hospitals,,0,-9052709909,https://www.justdial.com/Hyderabad/Image-Hospitals-Behind-BATA-Opposite-R-S-Brothers-Ameerpet/040PXX40-XX40-101007150039-U1E9_BZDET?xid=SHlkZXJhYmFkIFBzeWNob3RoZXJhcHkgRG9jdG9ycw==,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"Main Road, Ameerpet, Hyderabad - 500016, Behind BATA, Opposite R S Brothers "
22,Hyderabad,22,Owaisi Hospital & Research Centre,,0,-24340193,http://www.owaisihospital.com/,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,","
23,Hyderabad,23,Aditya Hospitals,0,0,-33855504,http://www.adityahospital.com/,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"Uppal, Hyderabad - 500039, Opposite Bharath Petrol Pump, Survey No 93/2&125, Shanthi Nagar "
24,Hyderabad,24,Apollo Clinic,,0,-9701003242,http://www.apolloclinic.com/,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"Rishab Heights, As Rao Nagar, Hyderabad - 500062, Above Vodafone Store, Beside KFC "
