,City,Id,Name,Fees,Experience,Contact,Website,AvailDay,Address
0,Hyderabad,0,Cimhans - Cognizance Institute Of Mental Health and Neuro Sciences Pvt Ltd,800,0,-9152660538,http://www.cimhans.com/,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"Plot No 20, INR Complex, High Tension Line Road, Nizampet, Hyderabad - 500090, Near Kolanu Raghava Reddy Gardens "
1,Hyderabad,1,Dr. Col R Shashikumar,1250,24,-9152150099,http://www.psychiatryawareness.in/,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"House No 42, Chikoti Gardens Lane, Begumpet, Hyderabad - 500016, Begumpet Main Road "
2,Hyderabad,2,Cimhans-Cognizance Institute Of Mental Health and Neuro Sciences Pvt Ltd,100,0,-9152969650,http://www.cimhans.in/,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"H No 256 Kiran Nilayam, Aparnahills Roadd, PJR Enclave, Chanda Nagar, Hyderabad - 500050 "
3,Hyderabad,3,New Life Counseling Center,1000,0,-9152244868,http://www.isthydindia.com/,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"Road No 25, Mp & Mla Colony, Jubilee Hills, Hyderabad - 500033, Dr MCR HRD Traniing Institute Campus "
4,Hyderabad,4,Chetana Hospital,900,0,-9152199734,http://www.chetanahospital.com/,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"Minister Road, Secunderabad, Hyderabad - 500003, Opposite Royal Enfield Showrrom, Adjacent to Kims "
5,Hyderabad,6,Helium Mind Center,500,9,-9152179083,https://www.justdial.com/Hyderabad/Helium-Mind-Center-Above-Bicha-Reddy-Sweets-Chanda-Nagar/040PXX40-XX40-161024095127-N8G3_BZDET?xid=SHlkZXJhYmFkIFBzeWNob3RoZXJhcHkgRG9jdG9ycw==,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"Plot No 381, 1st Floor, Shop No 11, Vijaya Raghava Chambers, Chanda Nagar, Hyderabad - 500050, Above Bicha Reddy Sweets "
6,Hyderabad,7,Neuro Arthritis & Joint Pains Clinic,1000,0,-9152331921,https://www.justdial.com/Hyderabad/Neuro-Arthritis-Joint-Pains-Clinic-Near-Kumar-Theatre-Kachiguda/040PXX40-XX40-130717124414-R3P8_BZDET?xid=SHlkZXJhYmFkIFBzeWNob3RoZXJhcHkgRG9jdG9ycw==,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"Shop No3-2-716, Chappal Bazaar, Kachiguda, Hyderabad - 500027, Near Kumar Theatre "
7,Hyderabad,8,Idea Clinics,,0,-40023949,http://www.ideaclinics.com/,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"Flat No 450 & 475, 2nd Floor, K K Plaza, 100 Feet Road, Meridian School Road, Madhapur, Hyderabad - 500081, Beside Abhiruchi Tiffins, Ayyappa Society "
8,Hyderabad,18,Physiokentic,900,0,-7287012132,https://www.justdial.com/Hyderabad/Physiokentic-Near-Area-Hospital-Sri-Ram-Nagar-Kondapur/040PXX40-XX40-180620190204-E7Q3_BZDET?xid=SHlkZXJhYmFkIFBzeWNob3RoZXJhcHkgRG9jdG9ycw==,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"Plot No 20, Masjid Banda Road, Sri Ram Nagar-Kondapur, Hyderabad - 500084, Near Area Hospital, "
9,Hyderabad,19,Siddharth Physiotheraphy,900,0,-9866213032,https://www.justdial.com/Hyderabad/Siddharth-Physiotheraphy-SBI-BANK-Shivam-Road-Bagh-Amberpet-amberpet/040PXX40-XX40-160702185020-B9Y6_BZDET?xid=SHlkZXJhYmFkIFBzeWNob3RoZXJhcHkgRG9jdG9ycw==,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"House No 2-2-647/187/6, Street No. 9, Bagh Amberpet-amberpet, Hyderabad - 500013, SBI BANK, Shivam Road"
10,Hyderabad,12,Positive Homeopathy,,0,-9152189673,http://www.positivehomeopathy.in/,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,"Door No. 8-2-293/82/A/69/1, RD 1, 252, Road No. 1, Near TV-5 Office, Jubilee Hills, Hyderabad - 500033, Above Naturals, Beside Celebrations Restaurant "
